Time Quat_X Quat_Y Quat_Z Quat_W Pos_X Pos_Y Pos_Z
2.100000 0.163408 -0.323130 0.690436 -0.626244 -228.447479 1165.076538 34.885002
2.108333 0.163416 -0.323247 0.690413 -0.626208 -228.439301 1165.068115 34.885010
2.116667 0.163403 -0.322826 0.690482 -0.626353 -228.463669 1165.094482 34.887638
2.125000 0.163425 -0.322688 0.690502 -0.626396 -228.470047 1165.102661 34.890461
2.133333 0.163383 -0.323108 0.690447 -0.626251 -228.444305 1165.074585 34.886768
2.141667 0.163415 -0.323225 0.690422 -0.626210 -228.438736 1165.065918 34.885326
2.150000 0.163414 -0.322825 0.690482 -0.626350 -228.464157 1165.095825 34.888649
2.158333 0.163397 -0.323150 0.690429 -0.626246 -228.443985 1165.073364 34.885830
2.166667 0.163412 -0.322812 0.690479 -0.626361 -228.464691 1165.096069 34.887253
2.175000 0.163416 -0.322712 0.690502 -0.626385 -228.473343 1165.101074 34.888271
2.183333 0.163429 -0.322670 0.690514 -0.626391 -228.476288 1165.104248 34.887093
2.191667 0.163428 -0.322686 0.690522 -0.626374 -228.476944 1165.105469 34.889038
2.200000 0.163417 -0.322684 0.690520 -0.626380 -228.476379 1165.105347 34.889145
2.208333 0.163435 -0.322698 0.690505 -0.626385 -228.474289 1165.103638 34.887829
2.216667 0.163420 -0.322684 0.690502 -0.626400 -228.473419 1165.103516 34.887585
2.225000 0.163405 -0.323110 0.690426 -0.626267 -228.447800 1165.071655 34.886307
2.233333 0.163405 -0.323233 0.690408 -0.626224 -228.438171 1165.062622 34.885662
2.241667 0.163392 -0.323272 0.690425 -0.626189 -228.439636 1165.058228 34.884415
2.250000 0.163401 -0.323255 0.690421 -0.626199 -228.436920 1165.061768 34.885109
2.258333 0.163404 -0.323245 0.690422 -0.626202 -228.436188 1165.062622 34.884941
2.266667 0.163387 -0.323250 0.690415 -0.626212 -228.436554 1165.061768 34.885368
2.275000 0.163393 -0.323242 0.690399 -0.626232 -228.436737 1165.062744 34.885448
2.283333 0.163428 -0.322821 0.690485 -0.626345 -228.465469 1165.092896 34.889465
2.291667 0.163401 -0.323131 0.690451 -0.626229 -228.447784 1165.071045 34.889481
2.300000 0.163432 -0.323235 0.690425 -0.626197 -228.438232 1165.065308 34.886780
2.308333 0.163456 -0.323235 0.690393 -0.626226 -228.444611 1165.064087 34.888298
2.316667 0.163430 -0.323268 0.690413 -0.626194 -228.441177 1165.063599 34.888988
2.325000 0.163491 -0.322803 0.690451 -0.626376 -228.473740 1165.093872 34.893456
2.333333 0.163450 -0.323126 0.690437 -0.626235 -228.449585 1165.069824 34.890583
2.341667 0.163440 -0.323238 0.690431 -0.626187 -228.445267 1165.063354 34.889294
2.350000 0.163443 -0.323267 0.690400 -0.626205 -228.441895 1165.061035 34.887589
2.358333 0.163448 -0.322841 0.690468 -0.626348 -228.464157 1165.092529 34.889534
2.366667 0.163444 -0.322726 0.690491 -0.626383 -228.474884 1165.102173 34.890198
2.375000 0.163426 -0.323113 0.690436 -0.626249 -228.451050 1165.072510 34.888016
2.383333 0.163411 -0.323243 0.690433 -0.626189 -228.443146 1165.067017 34.886093
2.391667 0.163426 -0.322840 0.690486 -0.626334 -228.465881 1165.094482 34.888252
