Format Version,1.23,Take Name,setup1_cold_train,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-01-29 11.56.26.170 AM,Total Frames in Take,17289,Total Exported Frames,17289,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,camera,camera,camera,camera,camera,camera,camera
,ID,"AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
179,1.491667,-0.329623,-0.448130,0.487263,-0.673129,65.382355,1238.899780,-448.138977
180,1.500000,-0.329612,-0.448127,0.487273,-0.673130,65.383286,1238.902344,-448.140442
181,1.508333,-0.329620,-0.448148,0.487268,-0.673115,65.381439,1238.903931,-448.137543
182,1.516667,-0.329638,-0.448106,0.487257,-0.673142,65.377022,1238.901733,-448.133301
183,1.525000,-0.329605,-0.448103,0.487274,-0.673148,65.384315,1238.901489,-448.138428
184,1.533333,-0.329631,-0.448153,0.487263,-0.673110,65.381615,1238.901733,-448.136444
185,1.541667,-0.329614,-0.448156,0.487257,-0.673121,65.384033,1238.901001,-448.136475
186,1.550000,-0.329623,-0.448142,0.487269,-0.673117,65.384682,1238.903809,-448.138336
187,1.558333,-0.329846,-0.448471,0.487599,-0.672549,65.285263,1238.917480,-448.144012
188,1.566667,-0.329621,-0.448151,0.487268,-0.673113,65.383530,1238.904907,-448.138947
189,1.575000,-0.329602,-0.448128,0.487275,-0.673132,65.384216,1238.905762,-448.143951
190,1.583333,-0.329614,-0.448150,0.487264,-0.673120,65.383553,1238.905151,-448.140839
191,1.591667,-0.329588,-0.448142,0.487263,-0.673138,65.387924,1238.905518,-448.144257
192,1.600000,-0.329602,-0.448134,0.487280,-0.673125,65.385117,1238.906982,-448.143860
193,1.608333,-0.329609,-0.448159,0.487269,-0.673113,65.386658,1238.909546,-448.146362
